variety,seeding_rate,seeding_depth,seeding_window,days_to_maturity,row_spacing,harvest_notes,seed_sources,grower_tips,bread_notes,malt_profile,falling_number,test_weight,sourdough_notes,end_use,species,malt_type,modification,diastatic_power,color_lovibond,extract_potential_pct,kilning_notes,flour_extraction_pct,ash_content_pct,gluten_strength,water_absorption_pct,ideal_stone_type,milling_notes
Jonathan,15-20 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 2nd year full yield,broadcast or 12 cm drill rows,2-3 cuts per season; late heading extends grazing season,Boreal;NordGen,Finnish timothy; late heading,,,,,,forage,Phleum pratense,,,,,,,,,,,,
Vega,20-25 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 2nd year full yield,broadcast or 12 cm drill rows,2-3 cuts per season; highly palatable; good in timothy mixtures,Graminor;NordGen,Norwegian meadow fescue; palatable,,,,,,forage,Festuca pratensis,,,,,,,,,,,,
Fure,20-25 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 2nd year full yield,broadcast or 12 cm drill rows,2-3 cuts per season; persistent in stand; long-lived perennial,Graminor;NordGen,Norwegian meadow fescue; persistent,,,,,,forage,Festuca pratensis,,,,,,,,,,,,
Kasper,20-25 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 2nd year full yield,broadcast or 12 cm drill rows,2-3 cuts per season; winter hardy; Finnish conditions,Boreal;NordGen,Finnish meadow fescue; hardy,,,,,,forage,Festuca pratensis,,,,,,,,,,,,
Hykor,25-30 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 1st year establishment,broadcast or 12 cm drill rows,3-4 cuts per season; hybrid vigor; high yield; may thin after 2-3 years,DLF;commercial,Danish festulolium; hybrid vigor,,,,,,forage,x Festulolium,,,,,,,,,,,,
Perun,25-30 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 1st year establishment,broadcast or 12 cm drill rows,3-4 cuts per season; winter hardy for festulolium; good persistence,OSEVA;NordGen,Czech festulolium; winter hardy,,,,,,forage,x Festulolium,,,,,,,,,,,,
Trygve,25-30 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 1st year establishment,broadcast or 12 cm drill rows,3-4 cuts per season; northernmost ryegrass; winter survival is key,Graminor;NordGen,Norwegian perennial ryegrass; northernmost,,,,,,forage,Lolium perenne,,,,,,,,,,,,
Figgjo,25-30 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 1st year establishment,broadcast or 12 cm drill rows,3-4 cuts per season; persistent; maritime Norwegian climate,Graminor;NordGen,Norwegian perennial ryegrass; persistent,,,,,,forage,Lolium perenne,,,,,,,,,,,,
Birger,25-30 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 1st year establishment,broadcast or 12 cm drill rows,3-4 cuts per season; Swedish bred for winter survival,Lantmannen;NordGen,Swedish perennial ryegrass; winter survival,,,,,,forage,Lolium perenne,,,,,,,,,,,,
Gondolin,8-12 kg/ha (pure) or 3-5 kg/ha (mix),1-2 cm,May-Jun (undersown with cereal),perennial; 2nd year full yield; nitrogen fixer,broadcast or 12 cm drill rows,2-3 cuts per season; persistent; nitrogen fixer; 2-4 year stands,Graminor;NordGen,Norwegian red clover; persistent,,,,,,forage,Trifolium pratense,,,,,,,,,,,,
Lea,8-12 kg/ha (pure) or 3-5 kg/ha (mix),1-2 cm,May-Jun (undersown with cereal),perennial; 2nd year full yield; nitrogen fixer,broadcast or 12 cm drill rows,2-3 cuts per season; high yielding; good for silage,Graminor;NordGen,Norwegian red clover; high yield,,,,,,forage,Trifolium pratense,,,,,,,,,,,,
Bjursele,8-12 kg/ha (pure) or 3-5 kg/ha (mix),1-2 cm,May-Jun (undersown with cereal),perennial; 2nd year full yield; nitrogen fixer,broadcast or 12 cm drill rows,2-3 cuts per season; extreme winterhardiness; northern Sweden,Lantmannen;NordGen,Swedish red clover; extreme winterhardiness,,,,,,forage,Trifolium pratense,,,,,,,,,,,,
Betty,3-5 kg/ha (in mix),0.5-1 cm,May-Jun (undersown),perennial; 1st year establishment; nitrogen fixer,broadcast,Continuous grazing or 3-4 cuts mixed; stoloniferous; self-reseeding,Graminor;NordGen,Norwegian white clover; stolon density,,,,,,forage,Trifolium repens,,,,,,,,,,,,
Carmine Jewel,1 plant per 1.5-2 m,graft union at soil level or own-root,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 3-4 m between rows,Harvest mid-Jul; tart cherry; excellent for pies and preserves; machine harvestable,University of Saskatchewan;cold-hardy nurseries,USask bush cherry; extremely cold hardy,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Romeo,1 plant per 1.5-2 m,graft union at soil level or own-root,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 3-4 m between rows,Harvest mid-Jul; best fresh eating of Romance series; sweet-tart,University of Saskatchewan;cold-hardy nurseries,USask bush cherry; best fresh eating,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Juliet,1 plant per 1.5-2 m,graft union at soil level or own-root,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 3-4 m between rows,Harvest early Jul; earliest of Romance series; sweet-tart flavor,University of Saskatchewan;cold-hardy nurseries,USask bush cherry; earliest flowering,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Crimson Passion,1 plant per 1.5-2 m,graft union at soil level or own-root,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 3-4 m between rows,Harvest mid-Jul; darkest color; high anthocyanins; excellent for juice,University of Saskatchewan;cold-hardy nurseries,USask bush cherry; darkest color,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Valentine,1 plant per 1.5-2 m,graft union at soil level or own-root,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 3-4 m between rows,Harvest late Jul; large fruit; excellent for baking and preserves,University of Saskatchewan;cold-hardy nurseries,USask bush cherry; large fruit; baking,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Cupid,1 plant per 1.5-2 m,graft union at soil level or own-root,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 3-4 m between rows,Harvest late Jul; largest fruit in Romance series; sweetest of series,University of Saskatchewan;cold-hardy nurseries,USask bush cherry; largest fruit; sweet,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
North Star,1 tree per 3-4 m,graft union at soil level,Oct-Nov (dormant),3-4 years to first fruit,3-4 m between trees,Harvest mid-Jul; dwarf tree; self-fertile; classic pie cherry,University of Minnesota;cold-hardy nurseries,Minnesota sour cherry; dwarf; self-fertile,,,,,,fresh eating,Prunus cerasus,,,,,,,,,,,,
Meteor,1 tree per 3-4 m,graft union at soil level,Oct-Nov (dormant),3-4 years to first fruit,3-4 m between trees,Harvest mid-Jul; Montmorency-type; bright red; self-fertile,University of Minnesota;cold-hardy nurseries,Minnesota sour cherry; Montmorency-type,,,,,,fresh eating,Prunus cerasus,,,,,,,,,,,,
Titania,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest Jul; mildew resistant; large bush; machine or hand harvest,SLU Balsgard;Nordic nurseries,Swedish black currant; mildew resistant,,,,,,fresh eating;juice/wine,Ribes nigrum,,,,,,,,,,,,
Ben Alder,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest late Jul; bred for juice processing; high yields,SCRI;UK nurseries,Scottish black currant; late; juice quality,,,,,,juice/wine,Ribes nigrum,,,,,,,,,,,,
Ben Tirran,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest late Jul-Aug; very late; extends harvest season,SCRI;UK nurseries,Scottish black currant; very late,,,,,,juice/wine,Ribes nigrum,,,,,,,,,,,,
Mortti,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest Jul; extreme winter hardy; reliable in zone 2-3,MTT Finland;Nordic nurseries,Finnish black currant; extreme winter hardy,,,,,,fresh eating;juice/wine,Ribes nigrum,,,,,,,,,,,,
Melalahti,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest Jul; excellent juice quality; Finnish cultivar,MTT Finland;Nordic nurseries,Finnish black currant; juice quality,,,,,,juice/wine,Ribes nigrum,,,,,,,,,,,,
Consort,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest Jul; immune to white pine blister rust; permitted near conifers,Agriculture Canada;North American nurseries,Canadian black currant; blister rust immune,,,,,,fresh eating;juice/wine,Ribes nigrum,,,,,,,,,,,,
Ojebyn,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest Jul; extremely winter hardy; reliable in zone 2,NordGen;Nordic nurseries,Swedish black currant; extremely hardy,,,,,,fresh eating;juice/wine,Ribes nigrum,,,,,,,,,,,,
Risager,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest late Jun-Jul; early ripening; large berries; Danish cultivar,Danish breeding;Nordic nurseries,Danish black currant; early; large berry,,,,,,fresh eating;juice/wine,Ribes nigrum,,,,,,,,,,,,
Rovada,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest Jul; very large clusters; easy harvest; late ripening,Dutch nurseries;commercial,Dutch red currant; very large clusters,,,,,,fresh eating,Ribes rubrum,,,,,,,,,,,,
Jonkheer van Tets,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest late Jun-Jul; early ripening; classic red currant; reliable,Dutch nurseries;commercial,Dutch red currant; early; classic,,,,,,fresh eating,Ribes rubrum,,,,,,,,,,,,
Hinnomaki Red,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 2-3 m between rows,Harvest Jul; disease resistant; red berries; thorny,MTT Finland;Nordic nurseries,Finnish gooseberry; disease resistant,,,,,,fresh eating,Ribes uva-crispa,,,,,,,,,,,,
Pixwell,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 2-3 m between rows,Harvest Jul; nearly thornless; zone 2 hardy; green-pink berries,North American nurseries;commercial,American gooseberry; zone 2; thornless,,,,,,fresh eating,Ribes uva-crispa,,,,,,,,,,,,
Northblue,1 plant per 1-1.2 m,crown at soil level; acidic soil required (pH 4.5-5.5),Oct-Nov or Mar-Apr,3-4 years to full crop,1-1.2 m in row; 2.5-3 m between rows,Harvest late Jul-Aug; half-high hybrid; large dark berries; hand pick,University of Minnesota;cold-hardy nurseries,Minnesota half-high blueberry; cold hardy,,,,,,fresh eating,Vaccinium corymbosum x angustifolium,,,,,,,,,,,,
Northcountry,1 plant per 1-1.2 m,crown at soil level; acidic soil required (pH 4.5-5.5),Oct-Nov or Mar-Apr,3-4 years to full crop,1-1.2 m in row; 2.5-3 m between rows,Harvest mid-Jul; early ripening; compact bush; sweet mild berries,University of Minnesota;cold-hardy nurseries,Minnesota half-high blueberry; early,,,,,,fresh eating,Vaccinium corymbosum x angustifolium,,,,,,,,,,,,
Polaris,1 plant per 1-1.2 m,crown at soil level; acidic soil required (pH 4.5-5.5),Oct-Nov or Mar-Apr,3-4 years to full crop,1-1.2 m in row; 2.5-3 m between rows,Harvest mid-Jul; aromatic flavor; compact bush; early ripening,University of Minnesota;cold-hardy nurseries,Minnesota half-high blueberry; aromatic,,,,,,fresh eating,Vaccinium corymbosum x angustifolium,,,,,,,,,,,,
St. Cloud,1 plant per 1-1.2 m,crown at soil level; acidic soil required (pH 4.5-5.5),Oct-Nov or Mar-Apr,3-4 years to full crop,1-1.2 m in row; 2.5-3 m between rows,Harvest early Jul; very early ripening; firm sweet berries,University of Minnesota;cold-hardy nurseries,Minnesota half-high blueberry; very early,,,,,,fresh eating,Vaccinium corymbosum x angustifolium,,,,,,,,,,,,
Patriot,1 plant per 1.2-1.5 m,crown at soil level; acidic soil required (pH 4.5-5.5),Oct-Nov or Mar-Apr,3-4 years to full crop,1.2-1.5 m in row; 2.5-3 m between rows,Harvest late Jul; large berries; northern highbush; excellent flavor,USDA;cold-hardy nurseries,Northern highbush blueberry; zone 3-4,,,,,,fresh eating,Vaccinium corymbosum,,,,,,,,,,,,
Thiessen,1 plant per 1.5-2 m,crown at soil level,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 4-5 m between rows,Harvest late Jun-Jul; largest fruit; sweet mild flavor; hand pick,University of Saskatchewan;prairie nurseries,Largest-fruited saskatoon berry,,,,,,fresh eating,Amelanchier alnifolia,,,,,,,,,,,,
Smoky,1 plant per 1.5-2 m,crown at soil level,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 4-5 m between rows,Harvest late Jun-Jul; most productive; sweet mild; commercial standard,Agriculture Canada;prairie nurseries,Most widely planted saskatoon cultivar,,,,,,fresh eating,Amelanchier alnifolia,,,,,,,,,,,,
Northline,1 plant per 1.5-2 m,crown at soil level,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 4-5 m between rows,Harvest late Jun; compact habit; sweet-tart; good for hedgerow,Agriculture Canada;prairie nurseries,Compact saskatoon; sweet-tart,,,,,,fresh eating,Amelanchier alnifolia,,,,,,,,,,,,
Martin,1 plant per 1.5-2 m,crown at soil level,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 4-5 m between rows,Harvest late Jun-Jul; large upright bush; firm fruit; easy harvest,Agriculture Canada;prairie nurseries,Large upright saskatoon berry,,,,,,fresh eating,Amelanchier alnifolia,,,,,,,,,,,,
JB30,1 plant per 1.5-2 m,crown at soil level,Oct-Nov or Mar-Apr,3-4 years to first crop,1.5-2 m in row; 4-5 m between rows,Harvest late Jun-Jul; newest USask release; largest fruit size,University of Saskatchewan;prairie nurseries,Newest USask saskatoon; largest fruit,,,,,,fresh eating,Amelanchier alnifolia,,,,,,,,,,,,
Ure,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),4-6 years to first fruit,4-5 m between trees,Harvest Aug-Sep; small fruit; very cold hardy; zone 2; best for preserves,Agriculture Canada;cold-hardy nurseries,Ussurian pear hybrid; extremely cold hardy,,,,,,fresh eating,Pyrus ussuriensis hybrid,,,,,,,,,,,,
Early Gold,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),4-6 years to first fruit,4-5 m between trees,Harvest Aug; earliest ripening; small-medium golden fruit; zone 3,Agriculture Canada;cold-hardy nurseries,Cold-hardy pear; northern plains,,,,,,fresh eating,Pyrus ussuriensis hybrid,,,,,,,,,,,,
Kosui,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest Aug-Sep; sweet crisp Asian pear; limited cold tolerance; zone 5+,Japanese nurseries;specialty fruit nurseries,Japanese Nashi pear; sweet; limited cold tolerance,,,,,,fresh eating,Pyrus pyrifolia,,,,,,,,,,,,
Shinko,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest Sep-Oct; disease resistant; sweet Asian pear; zone 5+,Japanese nurseries;specialty fruit nurseries,Japanese Nashi pear; disease resistant,,,,,,fresh eating,Pyrus pyrifolia,,,,,,,,,,,,
Toka,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest Aug; sweet bubblegum flavor; excellent pollinator; zone 2,Agriculture Canada;cold-hardy nurseries,Extremely hardy plum; sweet; zone 2,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Waneta,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest Aug; very large fruit; American-Japanese hybrid; zone 2,Agriculture Canada;cold-hardy nurseries,American hybrid plum; large; zone 2,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Superior,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest Aug-Sep; excellent eating quality; large red fruit; zone 3,Agriculture Canada;cold-hardy nurseries,Cold-hardy plum; excellent eating,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Alderman,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest Sep; large blue plum; excellent quality; zone 3-4,University of Minnesota;cold-hardy nurseries,Cold-hardy blue plum; excellent quality,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Brookred,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest Aug; productive red plum; zone 3; Brookings SD origin,South Dakota State;cold-hardy nurseries,Cold-hardy red plum; productive,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Brookgold,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest Aug; golden yellow plum; sweet; zone 3,Agriculture Canada;cold-hardy nurseries,Cold-hardy yellow plum,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Pembina,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest Aug; large red plum; zone 2-3; Canadian prairie adapted,Agriculture Canada;cold-hardy nurseries,Canadian hybrid plum; zone 2-3,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Sapalta,1 tree/bush per 3-4 m,graft union at soil level or own-root,Oct-Nov (dormant),3-4 years to first fruit,3-4 m between plants,Harvest Aug; cherry-plum hybrid; compact; zone 2; excellent for preserves,Agriculture Canada;cold-hardy nurseries,Cherry-plum hybrid; zone 2; compact,,,,,,fresh eating,Prunus hybrid,,,,,,,,,,,,
Boyne,1 cane per 0.5-0.6 m,roots 5-8 cm deep,Oct-Nov or Mar-Apr,2nd year fruiting (floricane),0.5-0.6 m in row; 2.5-3 m between rows,Harvest Jul; medium red berries; zone 2 hardy; floricane bearer,Agriculture Canada;cold-hardy nurseries,Cold-hardy raspberry; zone 2; red,,,,,,fresh eating,Rubus idaeus,,,,,,,,,,,,
Nova,1 cane per 0.5-0.6 m,roots 5-8 cm deep,Oct-Nov or Mar-Apr,2nd year fruiting (floricane),0.5-0.6 m in row; 2.5-3 m between rows,Harvest Jul; thornless; large firm berries; cold hardy,Agriculture Canada;cold-hardy nurseries,Thornless red raspberry; cold hardy,,,,,,fresh eating,Rubus idaeus,,,,,,,,,,,,
Killarney,1 cane per 0.5-0.6 m,roots 5-8 cm deep,Oct-Nov or Mar-Apr,2nd year fruiting (floricane),0.5-0.6 m in row; 2.5-3 m between rows,Harvest Jul; extremely hardy; medium berries; reliable producer; zone 2,Agriculture Canada;cold-hardy nurseries,Extremely hardy red raspberry; zone 2,,,,,,fresh eating,Rubus idaeus,,,,,,,,,,,,
Scout,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest late Jul; cold hardy to zone 2; medium fruit; best Canadian apricot,Agriculture Canada;cold-hardy nurseries,Cold-hardy apricot; zone 2; Canadian,,,,,,fresh eating,Prunus armeniaca hybrid,,,,,,,,,,,,
Longan No. 14,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest late Jul; Chinese Manchurian type; very cold hardy; small fruit,Chinese breeding;specialty nurseries,Chinese cold-hardy apricot,,,,,,fresh eating,Prunus armeniaca var. mandshurica,,,,,,,,,,,,
Harlayne,1 tree per 4-5 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-5 m between trees,Harvest late Jul-Aug; full-size apricot; excellent quality; zone 4,Agriculture Canada;cold-hardy nurseries,Cold-hardy full-size apricot; zone 4,,,,,,fresh eating,Prunus armeniaca,,,,,,,,,,,,
Fjellgull,4-6 plants per m²,rhizome 3-5 cm deep; needs acidic boggy soil,Oct-Nov or Mar-Apr,3-5 years to first crop,30-40 cm in row; 60-80 cm between rows,Harvest Aug; large golden berries; hand pick; low commercial yields,NIBIO Norway;specialty nurseries,Norwegian cloudberry cultivar; large berries,,,,,,fresh eating,Rubus chamaemorus,,,,,,,,,,,,
Fjordgull,4-6 plants per m²,rhizome 3-5 cm deep; needs acidic boggy soil,Oct-Nov or Mar-Apr,3-5 years to first crop,30-40 cm in row; 60-80 cm between rows,Harvest Aug; high carpel count; improved yields over wild; hand pick,NIBIO Norway;specialty nurseries,Norwegian cloudberry; high carpel count,,,,,,fresh eating,Rubus chamaemorus,,,,,,,,,,,,
Nyby,4-6 plants per m²,rhizome 3-5 cm deep; needs acidic boggy soil,Oct-Nov or Mar-Apr,3-5 years to first crop,30-40 cm in row; 60-80 cm between rows,Harvest Aug; self-fertile hermaphrodite; eliminates need for male pollinator,MTT Finland;specialty nurseries,Finnish cloudberry; hermaphrodite,,,,,,fresh eating,Rubus chamaemorus,,,,,,,,,,,,
Apollen,4-6 plants per m²,rhizome 3-5 cm deep; needs acidic boggy soil,Oct-Nov or Mar-Apr,3-5 years to maturity,30-40 cm in row; 60-80 cm between rows,Male pollinator; no fruit; plant alongside female cultivars for pollination,NIBIO Norway;specialty nurseries,Norwegian cloudberry; male pollinator,,,,,,forage,Rubus chamaemorus,,,,,,,,,,,,
